Year,Visit Rate
1980,0.004515166
1981,0.00469674
1982,0.004996897
1983,0.005059026
1984,0.005734676
1985,0.005945426
1986,0.006432785
1987,0.006767155
1988,0.007171493
1989,0.007417602
1990,0.007716159
1991,0.007328357
1992,0.007390218
1993,0.007366648
1994,0.007054883
1995,0.007198157
1996,0.007696314
1997,0.007966185
1998,0.008154716
1999,0.009730865
2000,0.011882568
2001,0.01120189
2002,0.011763206
2003,0.011728151
2004,0.01237608
2005,0.012822804
2006,0.012711697
2007,0.012646658
2008,0.012447714
2009,0.011813225
2010,0.011878538
2011,0.012447552
2012,0.012891863
2013,0.013106619
2014,0.013556691
2015,0.014467434
