Year,Fl.Temp,Delta
1895,69.2,
1896,70.3,1.1
1897,70.9,0.6
1898,70.4,-0.5
1899,70.6,0.2
1900,70.3,-0.3
1901,68.5,-1.8
1902,70.5,2
1903,69.6,-0.9
1904,69.8,0.2
1905,70.4,0.6
1906,70.3,-0.1
1907,71.1,0.8
1908,70.9,-0.2
1909,70.7,-0.2
1910,68.9,-1.8
1911,72,3.1
1912,70.8,-1.2
1913,70.8,0
1914,69.9,-0.9
1915,70,0.1
1916,70.6,0.6
1917,69.7,-0.9
1918,70.8,1.1
1919,71.1,0.3
1920,69.6,-1.5
1921,71.7,2.1
1922,71.7,0
1923,70.9,-0.8
1924,71,0.1
1925,71.1,0.1
1926,70,-1.1
1927,71.8,1.8
1928,70,-1.8
1929,71.4,1.4
1930,69.9,-1.5
1931,70.5,0.6
1932,71.7,1.2
1933,71.6,-0.1
1934,70.6,-1
1935,70.5,-0.1
1936,70.7,0.2
1937,70.5,-0.2
1938,70.8,0.3
1939,71.2,0.4
1940,68.8,-2.4
1941,70.5,1.7
1942,70.1,-0.4
1943,70.2,0.1
1944,70.9,0.7
1945,71.5,0.6
1946,72,0.5
1947,71,-1
1948,72.3,1.3
1949,72.2,-0.1
1950,70.8,-1.4
1951,70.9,0.1
1952,70.8,-0.1
1953,71.3,0.5
1954,70.6,-0.7
1955,70.6,0
1956,70.4,-0.2
1957,71.5,1.1
1958,69.5,-2
1959,71.1,1.6
1960,69.8,-1.3
1961,70.4,0.6
1962,70.2,-0.2
1963,69.5,-0.7
1964,70.4,0.9
1965,70.5,0.1
1966,69.3,-1.2
1967,70.5,1.2
1968,68.9,-1.6
1969,69.4,0.5
1970,69.8,0.4
1971,70.7,0.9
1972,71.2,0.5
1973,70.6,-0.6
1974,71.2,0.6
1975,71.5,0.3
1976,69.1,-2.4
1977,69.5,0.4
1978,69.8,0.3
1979,70,0.2
1980,70.1,0.1
1981,69.4,-0.7
1982,71.7,2.3
1983,69.4,-2.3
1984,70.1,0.7
1985,70.9,0.8
1986,71.7,0.8
1987,70.2,-1.5
1988,69.8,-0.4
1989,71,1.2
1990,72.6,1.6
1991,71.9,-0.7
1992,70.4,-1.5
1993,70.5,0.1
1994,71.7,1.2
1995,70.9,-0.8
1996,69.9,-1
1997,71.2,1.3
1998,72.5,1.3
1999,71.2,-1.3
2000,70.6,-0.6
2001,70.9,0.3
2002,71.4,0.5
2003,71,-0.4
2004,70.8,-0.2
2005,70.7,-0.1
2006,71.2,0.5
2007,71.6,0.4
2008,70.6,-1
2009,71.1,0.5
2010,69.1,-2
2011,71.7,2.6
2012,71.8,0.1
2013,71.6,-0.2
2014,70.7,-0.9
2015,73.5,2.8
