Year,Pensecola,Pananma.City,Apalachicola,Cedar.Key,Clearwater.Beach,St.Petersburg,Fort.Meyers,Naples,Vaca.Key,Miami.Beach,Lake.Worth.Pier,Daytona.Beach,Mayport,Fernandina.Beach,Key.West,Statewide.Averager
1900,-0.197,-0.166,-0.175,-0.174,-0.317,-0.244,-0.258,-0.236,-0.322,-0.216,-0.324,-0.238,-0.253,-0.203,-0.216,-0.235933333
1901,-0.195,-0.165,-0.173,-0.172,-0.314,-0.242,-0.255,-0.234,-0.319,-0.214,-0.32,-0.236,-0.251,-0.201,-0.214,-0.233666667
1902,-0.193,-0.163,-0.171,-0.171,-0.311,-0.239,-0.252,-0.231,-0.315,-0.212,-0.317,-0.234,-0.248,-0.199,-0.212,-0.2312
1903,-0.191,-0.161,-0.169,-0.169,-0.307,-0.236,-0.25,-0.228,-0.312,-0.209,-0.313,-0.232,-0.246,-0.197,-0.209,-0.2286
1904,-0.188,-0.159,-0.167,-0.167,-0.304,-0.234,-0.247,-0.226,-0.308,-0.207,-0.31,-0.229,-0.243,-0.195,-0.207,-0.226066667
1905,-0.186,-0.157,-0.165,-0.165,-0.3,-0.231,-0.244,-0.223,-0.305,-0.204,-0.306,-0.227,-0.241,-0.193,-0.205,-0.223466667
1906,-0.184,-0.155,-0.163,-0.163,-0.297,-0.228,-0.241,-0.22,-0.301,-0.202,-0.303,-0.225,-0.238,-0.19,-0.202,-0.2208
1907,-0.182,-0.153,-0.161,-0.161,-0.294,-0.226,-0.238,-0.218,-0.298,-0.2,-0.299,-0.222,-0.236,-0.188,-0.2,-0.2184
1908,-0.179,-0.151,-0.159,-0.159,-0.29,-0.223,-0.235,-0.215,-0.294,-0.197,-0.295,-0.22,-0.233,-0.186,-0.197,-0.215533333
1909,-0.177,-0.149,-0.157,-0.157,-0.287,-0.22,-0.233,-0.212,-0.291,-0.195,-0.292,-0.218,-0.23,-0.184,-0.195,-0.213133333
1910,-0.175,-0.147,-0.155,-0.155,-0.284,-0.218,-0.23,-0.21,-0.287,-0.192,-0.288,-0.215,-0.228,-0.182,-0.193,-0.2106
1911,-0.173,-0.145,-0.153,-0.153,-0.28,-0.215,-0.227,-0.207,-0.284,-0.19,-0.285,-0.213,-0.225,-0.18,-0.19,-0.208
1912,-0.17,-0.143,-0.151,-0.151,-0.277,-0.212,-0.224,-0.204,-0.28,-0.188,-0.281,-0.211,-0.223,-0.178,-0.188,-0.2054
1913,-0.168,-0.141,-0.149,-0.149,-0.273,-0.21,-0.221,-0.202,-0.277,-0.185,-0.278,-0.208,-0.22,-0.176,-0.186,-0.202866667
1914,-0.166,-0.14,-0.147,-0.147,-0.27,-0.207,-0.218,-0.199,-0.273,-0.183,-0.274,-0.206,-0.218,-0.174,-0.183,-0.200333333
1915,-0.164,-0.138,-0.145,-0.145,-0.267,-0.205,-0.215,-0.196,-0.269,-0.181,-0.27,-0.204,-0.215,-0.172,-0.181,-0.1978
1916,-0.161,-0.136,-0.143,-0.143,-0.263,-0.202,-0.213,-0.194,-0.266,-0.178,-0.267,-0.201,-0.213,-0.17,-0.178,-0.1952
1917,-0.159,-0.134,-0.141,-0.141,-0.26,-0.199,-0.21,-0.191,-0.262,-0.176,-0.263,-0.199,-0.21,-0.168,-0.176,-0.1926
1918,-0.157,-0.132,-0.139,-0.139,-0.257,-0.197,-0.207,-0.189,-0.259,-0.173,-0.26,-0.197,-0.208,-0.165,-0.174,-0.1902
1919,-0.155,-0.13,-0.137,-0.137,-0.253,-0.194,-0.204,-0.186,-0.255,-0.171,-0.256,-0.194,-0.205,-0.163,-0.171,-0.1874
1920,-0.152,-0.128,-0.135,-0.135,-0.25,-0.191,-0.201,-0.183,-0.252,-0.169,-0.253,-0.192,-0.202,-0.161,-0.169,-0.184866667
1921,-0.15,-0.126,-0.133,-0.133,-0.247,-0.189,-0.198,-0.181,-0.248,-0.166,-0.249,-0.19,-0.2,-0.159,-0.167,-0.1824
1922,-0.148,-0.124,-0.131,-0.131,-0.243,-0.186,-0.195,-0.178,-0.245,-0.164,-0.246,-0.187,-0.197,-0.157,-0.164,-0.179733333
1923,-0.146,-0.122,-0.129,-0.129,-0.24,-0.183,-0.193,-0.175,-0.241,-0.161,-0.242,-0.185,-0.195,-0.155,-0.162,-0.1772
1924,-0.143,-0.12,-0.128,-0.127,-0.236,-0.181,-0.19,-0.173,-0.238,-0.159,-0.238,-0.183,-0.192,-0.153,-0.159,-0.174666667
1925,-0.141,-0.118,-0.126,-0.125,-0.233,-0.178,-0.187,-0.17,-0.234,-0.157,-0.235,-0.18,-0.19,-0.151,-0.157,-0.172133333
1926,-0.139,-0.117,-0.124,-0.123,-0.23,-0.175,-0.184,-0.167,-0.231,-0.154,-0.231,-0.178,-0.187,-0.149,-0.155,-0.1696
1927,-0.137,-0.115,-0.122,-0.121,-0.226,-0.173,-0.181,-0.165,-0.227,-0.152,-0.228,-0.176,-0.185,-0.147,-0.152,-0.167133333
1928,-0.134,-0.113,-0.12,-0.119,-0.223,-0.17,-0.178,-0.162,-0.224,-0.149,-0.224,-0.174,-0.182,-0.145,-0.15,-0.164466667
1929,-0.132,-0.111,-0.118,-0.117,-0.22,-0.167,-0.176,-0.159,-0.22,-0.147,-0.221,-0.171,-0.179,-0.143,-0.148,-0.161933333
1930,-0.13,-0.109,-0.116,-0.115,-0.216,-0.165,-0.173,-0.157,-0.217,-0.145,-0.217,-0.169,-0.177,-0.14,-0.145,-0.1594
